Да;Да,ага,угу,йес,yes,согласен,согласна,устраивает,хочу,готов,готова,дааа,даа,интересен,интересно;
Нет;Нет,не,неа,не-а,неть,не согласен,не согласна,no,ноу,не устраивает,не готов,не готова,не интересен,не интересно,неинтересно,неинтересен;
